1 "HD   3789" "00 38 47.5565" "-77 43 44.295" 8.628407 0.913
2 "HD   3855" "00 39 24.6652" "-77 22 00.162" 9.51081 0.858
0 "CD-78    24" "00 42 20.3144" "-77 47 39.737" 9.830774 0.976
3 "CD-78    29" "00 49 02.6105" "-77 25 41.423" 9.96026 0.866
