"HD  97240" "11 09 18.1478" "-77 47 39.915" 167.3256158333333 -77.79442083333333 8.404952 1.016
"CD-76   481" "10 59 04.2213" "-77 05 57.118" 164.76758875 -77.09919944444444 8.713429 1.025
"HD  95916" "11 01 20.0174" "-77 36 12.712" 165.3334058333333 -77.60353111111111 9.09663 1.122
"CD-76   479" "10 54 17.6575" "-77 31 18.642" 163.57357291666665 -77.521845 9.799228 0.932
